Código;Estudios;Lugar;Universitat;Àmbit;PAU y FP;Mayores de 25;Titulados Universitarios;Mayores de 45
61039;Ciències de l'Activitat Física i de l'Esport / Fisioteràpia ;Lleida ;UdL;Ciencias de la Salud; 10,818;  5,000;  7,570;  5,000
11072;Educació Infantil / Educació Primària ;Barcelona;UB;Ciencias Sociales y Jurídicas; 10,788;  5,000;  8,100;  5,000
21003;Matemàtiques ;Cerdanyola del Vallès ;UAB;Ciencias; 10,740;  5,000;  5,000;  5,000
21080;Nanociència i Nanotecnologia ;Cerdanyola del Vallès ;UAB;Ciencias; 10,725;  5,000;  5,000;  5,000
21111;Educació Infantil / Educació Primària ;Cerdanyola del Vallès;UAB;Ciencias Sociales y Jurídicas; 10,720;  5,000;  7,300;  5,000
31089;Ciència i Enginyeria de Dades ;Barcelona ;UPC;Ciencias; 10,690;  5,000;  8,430;  5,000
21097;Publicitat i Relacions Públiques ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas; 10,660;  5,000;  5,000;  5,000
21009;Biologia ;Cerdanyola del Vallès ;UAB;Ciencias; 10,526;  5,000;  7,280;  5,000
11002;Biologia ;Barcelona ;UB;Ciencias; 10,504;  5,000;  5,000;  5,000
71006;Biotecnologia ;Tarragona ;URV;Ciencias; 10,464;  5,000;  5,000;  5,000
11073;Empresa Internacional (Anglès);Barcelona ;UB;Ciencias Sociales y Jurídicas; 10,454;  5,000;  5,000;  5,000
11064;Administració i Direcció d'Empreses / Dret ;Barcelona ;UB;Ciencias Sociales y Jurídicas; 10,390;  5,438;  6,620;  5,000
21104;Ciència Política i Gestió Pública / Dret ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas; 10,380;  6,563;  7,400;  5,000
41014;Economia ;Barcelona ;UPF;Ciencias Sociales y Jurídicas; 10,380;  5,563;  5,000;  5,000
21108;Criminologia / Dret ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas; 10,370;  5,563;  6,510;  5,000
71056;Biotecnologia / Enginyeria Informàtica ;Tarragona ;URV;Ciencias; 10,350;  5,000;  7,677;  5,000
61036;Administració i Direcció d'Empreses / Enginyeria Informàtica ;Lleida ;UdL;Ciencias Sociales y Jurídicas; 10,340;  5,000;  5,000;  5,000
21008;Biologia Ambiental ;Cerdanyola del Vallès ;UAB;Ciencias; 10,292;  5,188;  6,780;  5,000
21044;Infermeria ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud; 10,280;  6,063;  7,990;  5,000
41009;Ciències Empresarials - Management ;Barcelona ;UPF;Ciencias Sociales y Jurídicas; 10,255;  5,000;  5,000;  5,000
31085;Enginyeria de Sistemes Aeroespacials / Enginyeria de Sistemes de Telecomunicació - Enginyeria Telemàtica ;Castelldefels ;UPC;Ingeniería y Arquitectura; 10,236;  5,000;  5,000;  5,000
61057;Fisioteràpia / Nutrició Humana i Dietètica ;Lleida ;UdL;Ciencias de la Salud; 10,160;  5,000;  7,960;  5,000
11065;Ciències Polítiques i de l'Administració / Dret ;Barcelona ;UB;Ciencias Sociales y Jurídicas; 10,154;  5,000;  6,390;  5,000
41013;Dret ;Barcelona ;UPF;Ciencias Sociales y Jurídicas; 10,090;  5,625;  6,730;  5,000
11037;Infermeria ;Campus Bellvitge ;UB;Ciencias de la Salud; 10,068;  6,188;  7,500;  5,000
21095;Fisioteràpia ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud; 10,062;  6,188;  8,250;  5,167
81007;Biotecnologia ;Girona ;UdG;Ciencias; 10,010;  5,000;  5,000;  5,000
61019;Fisioteràpia ;Lleida ;UdL;Ciencias de la Salud;  9,948;  5,000;  7,470;  5,000
11024;Farmàcia ;Barcelona ;UB;Ciencias de la Salud;  9,930;  5,000;  6,700;  5,000
31022;Enginyeria de Disseny Industrial i Desenvolupament del Producte ;Terrassa ;UPC;Ingeniería y Arquitectura;  9,930;  5,000;  5,000;  5,000
21085;Comunicació Audiovisual ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,922;  5,000;  5,000;  5,000
81048;Biologia / Ciències Ambientals ;Girona ;UdG;Ciencias;  9,912;  5,000;  5,000;  5,000
